                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                 1.2235,                 1.0225,                 1.1795,                0.65585,                0.76642,                 0.7402,                0.42528,                 1.4759,                 1.0965,                 1.2821,             0.00089134,             0.00089134,             0.00089134
                     49,                 1.2433,                  1.036,                  1.195,                0.62034,                0.73937,                0.73559,                 0.4178,                 1.4951,                  1.104,                 1.2932,             0.00087484,             0.00087484,             0.00087484
                     50,                 1.2317,                 1.0215,                 1.1858,                0.66301,                0.68857,                0.72059,                0.41652,                  1.462,                 1.1244,                  1.285,             0.00085834,             0.00085834,             0.00085834
                     51,                 1.2139,                0.98472,                 1.1738,                0.65158,                0.67113,                0.72542,                0.39715,                 1.5051,                 1.2035,                 1.3115,             0.00084184,             0.00084184,             0.00084184
                     52,                  1.216,                 1.0212,                 1.1697,                0.67546,                0.70446,                 0.7289,                0.41435,                 1.4782,                 1.0927,                  1.305,             0.00082533,             0.00082533,             0.00082533
                     53,                 1.2094,                  1.011,                 1.1688,                 0.6307,                0.69327,                0.72278,                0.40687,                 1.5044,                 1.1826,                 1.3198,             0.00080883,             0.00080883,             0.00080883
                     54,                 1.2318,                 1.0081,                 1.1832,                0.58777,                0.79976,                0.72806,                0.39938,                 1.5067,                 1.1166,                 1.3151,             0.00079233,             0.00079233,             0.00079233
                     55,                 1.2332,                 1.0305,                 1.1684,                0.63644,                0.68468,                0.72299,                0.40795,                 1.5083,                 1.1485,                 1.3184,             0.00077582,             0.00077582,             0.00077582
                     56,                 1.2087,                 1.0716,                 1.1661,                0.64137,                0.76166,                0.72145,                0.40009,                  1.508,                 1.1354,                 1.3168,             0.00075932,             0.00075932,             0.00075932
                     57,                 1.2033,                0.97725,                 1.1726,                 0.6691,                0.72978,                0.73129,                0.40096,                 1.5296,                 1.2063,                 1.3464,             0.00074282,             0.00074282,             0.00074282
                     58,                 1.2126,                0.95555,                 1.1746,                0.64919,                0.70516,                0.73725,                0.41963,                 1.5026,                 1.0854,                 1.3026,             0.00072631,             0.00072631,             0.00072631
                     59,                 1.1732,                 1.0252,                 1.1494,                0.60349,                0.78832,                0.73275,                0.41324,                 1.5152,                 1.1154,                 1.3166,             0.00070981,             0.00070981,             0.00070981
                     60,                 1.1828,                0.93603,                  1.147,                0.63192,                0.72075,                0.72281,                0.41425,                 1.4751,                 1.1783,                 1.3031,             0.00069331,             0.00069331,             0.00069331
                     61,                 1.1773,                0.93864,                 1.1453,                0.64459,                0.77031,                0.75278,                0.41575,                 1.4875,                 1.0861,                 1.3006,              0.0006768,              0.0006768,              0.0006768
                     62,                 1.1996,                0.92483,                  1.149,                0.64494,                0.71522,                0.73679,                0.40335,                  1.489,                 1.0915,                 1.2927,              0.0006603,              0.0006603,              0.0006603
                     63,                 1.1638,                0.92518,                 1.1562,                0.64941,                 0.7505,                0.71913,                0.41516,                 1.4747,                 1.1072,                 1.2939,              0.0006438,              0.0006438,              0.0006438
                     64,                 1.1712,                0.92766,                 1.1474,                0.64326,                0.74778,                0.75751,                0.42273,                 1.4726,                  1.087,                 1.2983,             0.00062729,             0.00062729,             0.00062729
                     65,                 1.1608,                0.89779,                 1.1241,                0.65253,                0.75208,                0.75542,                0.41719,                 1.4943,                 1.0903,                 1.2966,             0.00061079,             0.00061079,             0.00061079
                     66,                 1.1633,                0.90751,                 1.1492,                0.64662,                0.76708,                0.74907,                0.41449,                 1.4684,                 1.1524,                 1.2846,             0.00059429,             0.00059429,             0.00059429
                     67,                 1.1565,                0.88642,                 1.1444,                0.61045,                 0.8013,                0.75257,                 0.4247,                 1.5007,                 1.0896,                 1.3041,             0.00057778,             0.00057778,             0.00057778
                     68,                 1.1434,                0.89988,                 1.1474,                0.64654,                0.75749,                0.75337,                0.43354,                 1.4808,                 1.0875,                 1.2894,             0.00056128,             0.00056128,             0.00056128
                     69,                 1.1259,                0.88853,                 1.1265,                0.69601,                0.71788,                0.75633,                0.42138,                 1.5052,                 1.0907,                 1.3023,             0.00054478,             0.00054478,             0.00054478
                     70,                 1.1469,                0.88378,                 1.1237,                0.62887,                0.79976,                0.75973,                0.42259,                  1.478,                 1.1107,                 1.2891,             0.00052827,             0.00052827,             0.00052827
                     71,                 1.1201,                0.85533,                 1.1237,                0.63247,                0.72792,                0.73342,                0.41209,                 1.4857,                 1.1847,                 1.2981,             0.00051177,             0.00051177,             0.00051177
                     72,                  1.116,                0.85933,                 1.1249,                0.63425,                0.73782,                0.73853,                0.41557,                 1.4849,                 1.1194,                 1.2923,             0.00049527,             0.00049527,             0.00049527
                     73,                 1.1403,                0.85462,                 1.1152,                0.61322,                0.78071,                 0.7311,                0.40607,                 1.5018,                 1.1756,                 1.3041,             0.00047876,             0.00047876,             0.00047876
                     74,                 1.1214,                0.85467,                 1.1225,                0.62779,                0.72032,                0.72146,                0.39566,                 1.5098,                 1.1848,                 1.3105,             0.00046226,             0.00046226,             0.00046226
                     75,                 1.0945,                0.83672,                 1.1043,                0.64997,                0.75235,                0.73446,                0.39625,                 1.5021,                 1.1384,                 1.3133,             0.00044576,             0.00044576,             0.00044576
                     76,                  1.094,                0.84771,                 1.1212,                0.62405,                0.79469,                0.74203,                0.40879,                 1.4972,                 1.0835,                 1.3088,             0.00042925,             0.00042925,             0.00042925
                     77,                 1.0955,                0.83007,                 1.1008,                0.63658,                0.80587,                0.75661,                0.42397,                 1.4626,                 1.1041,                 1.2908,             0.00041275,             0.00041275,             0.00041275
                     78,                 1.0881,                0.82787,                 1.1079,                0.65694,                0.75845,                0.74953,                 0.4133,                 1.4876,                 1.1618,                 1.2973,             0.00039625,             0.00039625,             0.00039625
                     79,                 1.0911,                0.84029,                 1.1025,                0.66355,                0.73604,                0.76552,                0.43168,                 1.4904,                 1.1414,                  1.302,             0.00037974,             0.00037974,             0.00037974
                     80,                 1.0896,                0.80474,                 1.1025,                0.65825,                0.77437,                 0.7647,                0.43178,                 1.4756,                 1.0989,                 1.2952,             0.00036324,             0.00036324,             0.00036324
                     81,                 1.0973,                0.83026,                 1.1018,                0.66109,                0.74574,                 0.7577,                0.41329,                 1.5168,                   1.15,                 1.3231,             0.00034674,             0.00034674,             0.00034674
                     82,                 1.0835,                0.84156,                 1.1078,                0.63578,                0.77013,                0.73279,                0.40544,                 1.4948,                 1.1794,                 1.3108,             0.00033023,             0.00033023,             0.00033023
                     83,                  1.073,                0.88268,                 1.0997,                0.64886,                0.70673,                0.72995,                0.40142,                 1.5099,                 1.1681,                 1.3198,             0.00031373,             0.00031373,             0.00031373
                     84,                 1.0827,                0.79075,                 1.0933,                0.62578,                0.76479,                0.73531,                0.41268,                 1.4876,                 1.1284,                 1.3115,             0.00029723,             0.00029723,             0.00029723
                     85,                 1.0873,                 0.8072,                 1.0894,                0.66418,                0.77431,                0.75443,                0.41588,                 1.5061,                 1.0955,                 1.3207,             0.00028072,             0.00028072,             0.00028072
                     86,                 1.0647,                0.80065,                  1.093,                0.62388,                0.78226,                0.75121,                0.41342,                 1.4907,                 1.1528,                 1.3101,             0.00026422,             0.00026422,             0.00026422
                     87,                 1.0864,                 0.8183,                  1.099,                 0.6495,                0.76732,                0.75486,                0.41799,                 1.4806,                 1.1315,                 1.3104,             0.00024772,             0.00024772,             0.00024772
                     88,                 1.0724,                0.86739,                 1.0679,                0.68417,                0.75365,                0.75505,                0.40802,                 1.5172,                 1.1215,                 1.3262,             0.00023121,             0.00023121,             0.00023121
                     89,                 1.0801,                0.81669,                  1.098,                0.65158,                0.76733,                0.74819,                 0.4101,                 1.4878,                  1.167,                 1.3098,             0.00021471,             0.00021471,             0.00021471
                     90,                 1.0517,                0.83628,                 1.0811,                0.63737,                0.77276,                0.74673,                0.41494,                 1.4812,                 1.0813,                 1.3046,             0.00019821,             0.00019821,             0.00019821
                     91,                 1.0227,                0.79609,                 1.0594,                0.64069,                0.76482,                0.73968,                0.41255,                  1.474,                 1.1281,                 1.2998,              0.0001817,              0.0001817,              0.0001817
                     92,                 1.0151,                0.76398,                  1.052,                0.63213,                0.79029,                0.75732,                0.42246,                  1.474,                  1.042,                 1.2946,              0.0001652,              0.0001652,              0.0001652
                     93,                0.99547,                0.74896,                  1.053,                0.68273,                0.75053,                0.75795,                0.42085,                 1.4738,                 1.0789,                 1.2935,              0.0001487,              0.0001487,              0.0001487
                     94,                0.98685,                0.73346,                 1.0437,                0.69434,                0.71489,                 0.7502,                0.41708,                 1.4611,                 1.1283,                 1.2873,             0.00013219,             0.00013219,             0.00013219
                     95,                0.96136,                0.70342,                 1.0394,                0.66355,                 0.7569,                 0.7528,                0.42164,                 1.4497,                 1.0897,                  1.284,             0.00011569,             0.00011569,             0.00011569
                     96,                0.97766,                0.72285,                 1.0489,                 0.6831,                0.72511,                0.74295,                0.41493,                 1.4664,                   1.09,                 1.2913,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.96615,                0.72033,                 1.0434,                0.68067,                0.72511,                0.73793,                0.41483,                 1.4719,                 1.1213,                 1.2997,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                   0.96,                0.69095,                 1.0313,                0.68611,                 0.7179,                0.75009,                0.41903,                 1.4584,                 1.0982,                  1.291,              6.618e-05,              6.618e-05,              6.618e-05
