                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8946,                 2.9926,                 1.6182,                0.45099,                0.50853,                 0.4681,                0.24391,                 1.7561,                 1.8709,                 1.4281,              0.0005532,              0.0005532,              0.0005532
                      1,                 1.7628,                 2.2142,                 1.4799,                0.45092,                0.55672,                0.50613,                0.23847,                 1.7987,                 1.7743,                 1.4676,              0.0010979,              0.0010979,              0.0010979
                      2,                 1.7109,                 2.0459,                 1.4687,                0.37751,                0.57258,                0.36311,                0.18981,                 1.7406,                 2.0878,                 1.4629,              0.0016316,              0.0016316,              0.0016316
                      3,                 1.7167,                 1.9493,                 1.4443,                0.43457,                0.55041,                0.40827,                0.19854,                  1.757,                 1.7559,                 1.4761,              0.0016175,              0.0016175,              0.0016175
                      4,                 1.6924,                 1.9171,                  1.446,                0.44045,                0.56484,                 0.4212,                0.21492,                 1.7041,                 1.7177,                 1.4961,              0.0016175,              0.0016175,              0.0016175
                      5,                  1.663,                 1.8154,                 1.4466,                0.40224,                0.64425,                 0.4998,                0.27068,                 1.5812,                 1.5448,                 1.3334,               0.001601,               0.001601,               0.001601
                      6,                 1.6238,                 1.9085,                 1.4136,                0.46102,                0.68402,                0.54977,                0.29757,                 1.5826,                   1.49,                 1.3416,              0.0015845,              0.0015845,              0.0015845
                      7,                 1.5797,                 1.7608,                 1.3991,                0.38593,                0.55021,                0.40854,                0.21317,                 1.6781,                 1.7006,                 1.4207,               0.001568,               0.001568,               0.001568
                      8,                 1.5701,                 1.7253,                 1.4095,                0.49128,                0.52178,                0.52959,                0.27657,                 1.6033,                 1.5842,                  1.375,              0.0015515,              0.0015515,              0.0015515
                      9,                  1.531,                 1.6374,                  1.377,                 0.5047,                  0.631,                 0.6296,                 0.3481,                 1.5369,                 1.3868,                   1.33,               0.001535,               0.001535,               0.001535
                     10,                 1.5153,                 1.6267,                 1.3631,                 0.5016,                0.64892,                0.59359,                0.32379,                 1.5452,                 1.4628,                 1.3397,              0.0015185,              0.0015185,              0.0015185
                     11,                 1.5452,                 1.6065,                 1.3744,                0.51239,                0.67972,                0.60851,                0.33138,                 1.5408,                 1.3486,                 1.3313,               0.001502,               0.001502,               0.001502
                     12,                 1.4903,                 1.7011,                 1.3319,                 0.4792,                 0.6808,                0.59191,                0.32553,                 1.5662,                 1.3559,                 1.3377,              0.0014855,              0.0014855,              0.0014855
                     13,                 1.5188,                 1.7443,                 1.3517,                 0.5245,                0.63056,                0.56234,                0.29596,                 1.5881,                 1.4725,                 1.3573,               0.001469,               0.001469,               0.001469
                     14,                  1.498,                 1.5231,                 1.3288,                0.57421,                0.61874,                0.63358,                0.31115,                 1.6241,                 1.3903,                 1.3451,              0.0014525,              0.0014525,              0.0014525
                     15,                 1.5046,                 1.5471,                 1.3405,                0.58338,                0.66639,                 0.6483,                0.36104,                 1.5066,                 1.2958,                 1.3253,               0.001436,               0.001436,               0.001436
                     16,                 1.4666,                 1.4895,                 1.3165,                0.52367,                0.67446,                0.63402,                0.33567,                 1.5768,                 1.3628,                 1.3663,              0.0014195,              0.0014195,              0.0014195
                     17,                 1.4558,                 1.4196,                 1.3089,                0.56282,                0.64954,                0.60494,                0.33024,                 1.5303,                 1.3451,                 1.3077,              0.0014029,              0.0014029,              0.0014029
                     18,                 1.4604,                 1.4162,                 1.3243,                0.55329,                0.67425,                 0.6115,                0.34155,                 1.5454,                 1.3303,                 1.3289,              0.0013864,              0.0013864,              0.0013864
                     19,                 1.4482,                 1.3773,                 1.2989,                0.55796,                0.69969,                 0.6549,                0.36115,                 1.4798,                 1.2531,                 1.3123,              0.0013699,              0.0013699,              0.0013699
                     20,                 1.4238,                 1.3259,                 1.2732,                0.56827,                 0.6832,                0.68881,                0.37398,                 1.5208,                 1.2684,                 1.3296,              0.0013534,              0.0013534,              0.0013534
                     21,                 1.4292,                 1.4095,                 1.3075,                0.58566,                0.66797,                0.62171,                 0.3447,                 1.5323,                 1.3192,                 1.3639,              0.0013369,              0.0013369,              0.0013369
                     22,                 1.3958,                 1.3081,                 1.2847,                0.54754,                0.72991,                0.66651,                 0.3579,                 1.5354,                 1.2902,                 1.3368,              0.0013204,              0.0013204,              0.0013204
                     23,                 1.4033,                 1.3037,                 1.2691,                0.55405,                0.68129,                0.67528,                0.35924,                 1.5425,                 1.3419,                 1.3265,              0.0013039,              0.0013039,              0.0013039
                     24,                 1.4294,                 1.3691,                 1.2834,                0.55288,                0.66946,                0.61651,                0.33445,                 1.6118,                 1.3554,                 1.3935,              0.0012874,              0.0012874,              0.0012874
                     25,                 1.3805,                 1.2926,                 1.2821,                0.54302,                0.73312,                0.67404,                0.36354,                 1.5188,                 1.2672,                 1.3283,              0.0012709,              0.0012709,              0.0012709
                     26,                 1.3945,                 1.2992,                 1.2654,                0.56245,                0.72806,                0.69043,                0.36928,                 1.5274,                 1.2612,                 1.3201,              0.0012544,              0.0012544,              0.0012544
                     27,                 1.3376,                 1.2429,                 1.2258,                0.51094,                0.70622,                0.66452,                0.37244,                 1.5127,                 1.2223,                 1.2918,              0.0012379,              0.0012379,              0.0012379
                     28,                 1.3778,                 1.2972,                 1.2591,                0.57237,                0.73643,                0.72727,                0.39599,                 1.4851,                 1.1934,                 1.2894,              0.0012214,              0.0012214,              0.0012214
                     29,                 1.3478,                 1.2273,                 1.2318,                0.56623,                0.65231,                0.61348,                0.32698,                 1.5875,                 1.3204,                 1.3455,              0.0012049,              0.0012049,              0.0012049
                     30,                 1.3685,                 1.2014,                 1.2308,                0.56217,                0.67732,                0.67338,                 0.3716,                 1.5128,                 1.2451,                 1.3054,              0.0011884,              0.0011884,              0.0011884
                     31,                 1.3402,                 1.5643,                 1.2431,                0.53256,                0.71559,                0.64328,                0.34388,                 1.5754,                 1.3297,                 1.3491,              0.0011719,              0.0011719,              0.0011719
                     32,                 1.3509,                 1.2453,                 1.2277,                0.60381,                 0.8243,                 0.7051,                0.38837,                 1.5085,                 1.1364,                 1.3131,              0.0011554,              0.0011554,              0.0011554
                     33,                  1.364,                 1.2066,                 1.2505,                0.59992,                0.69175,                0.66926,                0.38162,                 1.4784,                 1.2146,                 1.3035,              0.0011389,              0.0011389,              0.0011389
                     34,                 1.3305,                 1.2323,                  1.235,                0.62831,                0.74732,                0.68656,                0.38202,                 1.4775,                 1.3302,                 1.2987,              0.0011224,              0.0011224,              0.0011224
                     35,                 1.3199,                 1.1655,                  1.229,                0.63025,                0.74522,                0.69958,                0.38127,                 1.4931,                 1.1773,                 1.3066,              0.0011059,              0.0011059,              0.0011059
                     36,                   1.32,                 1.1319,                 1.2364,                0.64152,                0.74164,                0.71037,                0.39199,                 1.5019,                 1.1945,                 1.2977,              0.0010894,              0.0010894,              0.0010894
                     37,                 1.3069,                 1.1179,                 1.2068,                0.66704,                0.70294,                0.74288,                0.39671,                 1.5015,                 1.1445,                 1.2908,              0.0010729,              0.0010729,              0.0010729
                     38,                 1.2936,                 1.1188,                 1.2214,                0.62829,                0.78765,                 0.7386,                0.41262,                 1.4633,                 1.0951,                 1.2722,              0.0010564,              0.0010564,              0.0010564
                     39,                 1.2838,                 1.1072,                 1.1868,                0.61108,                0.76898,                0.72171,                0.40002,                 1.5036,                 1.1793,                 1.2997,              0.0010399,              0.0010399,              0.0010399
                     40,                 1.2936,                 1.1011,                 1.1902,                0.62704,                0.70137,                0.72754,                0.41221,                 1.4848,                 1.2173,                 1.2907,              0.0010234,              0.0010234,              0.0010234
                     41,                 1.2665,                 1.0749,                 1.2015,                0.64075,                0.79657,                0.72867,                0.41076,                 1.4876,                 1.1167,                 1.3007,              0.0010069,              0.0010069,              0.0010069
                     42,                  1.264,                 1.0567,                 1.2128,                0.63949,                 0.7569,                0.74379,                0.43065,                 1.4602,                 1.1142,                  1.272,             0.00099036,             0.00099036,             0.00099036
                     43,                 1.2295,                  1.068,                 1.1962,                0.64641,                0.74555,                0.71745,                0.40791,                 1.4615,                 1.1653,                 1.3014,             0.00097386,             0.00097386,             0.00097386
                     44,                 1.2562,                 1.0242,                  1.185,                0.66491,                0.77723,                0.74277,                0.40509,                 1.5527,                 1.1395,                 1.3297,             0.00095736,             0.00095736,             0.00095736
                     45,                 1.2702,                  1.024,                 1.1791,                0.63538,                0.80291,                0.74272,                0.42394,                 1.4951,                 1.0931,                 1.3068,             0.00094085,             0.00094085,             0.00094085
                     46,                 1.2468,                 1.1089,                 1.1742,                0.65709,                0.74356,                0.73668,                0.41656,                 1.4848,                 1.1101,                 1.2915,             0.00092435,             0.00092435,             0.00092435
                     47,                 1.2405,                 1.0156,                 1.1962,                0.69067,                0.70107,                0.74519,                0.42993,                  1.474,                 1.1881,                 1.2848,             0.00090785,             0.00090785,             0.00090785
