                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6431,                 1.6563,                   1.53,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00066507,             0.00066507,             0.00066507
                      1,                 1.5192,                 1.2009,                 1.4706,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0013054,              0.0013054,              0.0013054
                      2,                 1.5178,                 1.1527,                 1.4589,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019193,              0.0019193,              0.0019193
                      3,                 1.4925,                 1.1473,                  1.455,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0018812,              0.0018812,              0.0018812
                      4,                  1.493,                 1.0686,                 1.4522,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.4332,                 1.0075,                  1.424,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0018416,              0.0018416,              0.0018416
                      6,                 1.3852,                0.95831,                 1.3935,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001802,               0.001802,               0.001802
                      7,                 1.4144,                 0.9683,                 1.4153,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.3948,                0.92775,                 1.3973,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.4015,                0.93106,                 1.4039,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.3407,                0.87946,                 1.3572,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.3655,                0.85342,                 1.3668,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001604,               0.001604,               0.001604
                     12,                 1.3112,                0.79669,                 1.3264,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0015644,              0.0015644,              0.0015644
                     13,                  1.343,                0.83813,                 1.3639,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.2817,                0.76135,                 1.2999,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.3142,                0.83459,                  1.344,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0014456,              0.0014456,              0.0014456
                     16,                  1.271,                0.77879,                  1.298,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001406,               0.001406,               0.001406
                     17,                 1.2623,                0.74092,                 1.3062,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0013664,              0.0013664,              0.0013664
                     18,                 1.2657,                0.74272,                 1.3087,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0013268,              0.0013268,              0.0013268
                     19,                  1.262,                 0.7297,                 1.2986,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0012872,              0.0012872,              0.0012872
                     20,                 1.2251,                0.71031,                 1.2616,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0012476,              0.0012476,              0.0012476
                     21,                  1.247,                0.72705,                 1.2893,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001208,               0.001208,               0.001208
                     22,                 1.2229,                0.68941,                 1.2668,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0011684,              0.0011684,              0.0011684
                     23,                  1.197,                0.68282,                 1.2693,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0011288,              0.0011288,              0.0011288
                     24,                 1.1797,                0.68036,                 1.2484,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0010892,              0.0010892,              0.0010892
                     25,                 1.1532,                0.66135,                 1.2343,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0010496,              0.0010496,              0.0010496
                     26,                 1.1684,                0.64792,                 1.2475,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00101,                0.00101,                0.00101
                     27,                 1.1599,                0.64315,                 1.2354,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0009704,              0.0009704,              0.0009704
                     28,                 1.1476,                0.63839,                 1.2331,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0009308,              0.0009308,              0.0009308
                     29,                 1.1399,                0.63693,                 1.2355,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0008912,              0.0008912,              0.0008912
                     30,                 1.1015,                0.60628,                 1.2079,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0008516,              0.0008516,              0.0008516
                     31,                 1.1013,                0.60728,                 1.2031,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000812,               0.000812,               0.000812
                     32,                 1.0839,                0.59318,                 1.1833,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0007724,              0.0007724,              0.0007724
                     33,                 1.1026,                0.59511,                 1.1855,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0007328,              0.0007328,              0.0007328
                     34,                 1.0898,                0.60345,                 1.1853,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0006932,              0.0006932,              0.0006932
                     35,                 1.0789,                0.57266,                 1.1896,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.0706,                0.57234,                 1.1863,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000614,               0.000614,               0.000614
                     37,                 1.0617,                0.56044,                 1.1649,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.0324,                0.54821,                  1.158,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.0278,                0.53493,                 1.1461,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0004952,              0.0004952,              0.0004952
                     40,                0.98923,                0.54356,                 1.1322,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0004556,              0.0004556,              0.0004556
                     41,                0.94903,                0.49211,                 1.1241,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000416,               0.000416,               0.000416
                     42,                  0.937,                0.47675,                 1.1025,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0003764,              0.0003764,              0.0003764
                     43,                0.91222,                0.47588,                 1.0978,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0003368,              0.0003368,              0.0003368
                     44,                0.87638,                0.44846,                 1.0773,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0002972,              0.0002972,              0.0002972
                     45,                0.86985,                0.44565,                 1.0784,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0002576,              0.0002576,              0.0002576
