                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.1319,                0.82812,                 1.2297,                0.82459,                  0.875,                0.90805,                0.61481,                 1.1738,                0.71937,                  1.181,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.1053,                0.83014,                 1.2205,                0.81329,                0.83882,                0.90062,                0.61915,                 1.1735,                0.73269,                 1.1877,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.0961,                0.81839,                 1.2048,                0.87045,                0.81419,                0.91045,                0.60375,                 1.2148,                0.71642,                 1.2087,               0.001307,               0.001307,               0.001307
                     37,                 1.1048,                0.81311,                 1.2129,                0.83604,                0.83784,                0.90967,                0.61386,                 1.1861,                0.81074,                 1.2084,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.0818,                0.78562,                 1.2025,                0.84897,                0.87838,                0.91803,                0.61672,                 1.1878,                 0.8247,                 1.2041,              0.0012674,              0.0012674,              0.0012674
                     39,                  1.082,                0.79468,                 1.2034,                0.80545,                0.86149,                 0.9081,                0.62186,                 1.1365,                0.75432,                 1.1807,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.0902,                0.78898,                 1.1998,                0.83336,                0.84473,                0.90078,                0.61716,                  1.171,                0.71799,                  1.189,              0.0012278,              0.0012278,              0.0012278
                     41,                  1.058,                0.76562,                 1.1872,                0.86045,                0.85473,                0.91088,                0.61944,                 1.1771,                0.70572,                 1.1915,               0.001208,               0.001208,               0.001208
                     42,                 1.0314,                0.75679,                 1.1792,                0.84896,                0.84797,                0.91247,                0.61586,                 1.1896,                 0.7503,                 1.2089,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.0866,                0.78139,                 1.2062,                0.81375,                  0.875,                0.90269,                0.59739,                 1.2214,                0.78773,                 1.2245,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.0573,                0.75285,                  1.181,                0.80517,                0.85165,                0.90408,                0.60767,                 1.1986,                0.80033,                  1.214,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.0683,                0.82666,                 1.1943,                0.82964,                0.83906,                0.89415,                 0.6164,                 1.1557,                0.84548,                 1.1841,              0.0011288,              0.0011288,              0.0011288
                     46,                  1.059,                0.75708,                 1.1921,                0.84067,                0.80743,                0.88581,                0.60709,                 1.1622,                0.83131,                 1.1976,               0.001109,               0.001109,               0.001109
                     47,                 1.0308,                0.73588,                 1.1723,                0.85546,                0.82432,                0.90829,                0.60694,                 1.2062,                0.74774,                 1.2161,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.0203,                0.73014,                  1.177,                0.84498,                0.86149,                0.91456,                0.61571,                 1.2059,                0.76139,                 1.2084,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.0346,                0.73436,                 1.1619,                0.85334,                0.85473,                0.90976,                0.61143,                 1.1947,                0.76441,                 1.2076,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.0371,                0.72411,                 1.1619,                0.86095,                0.77027,                0.87738,                 0.6035,                 1.1638,                0.84821,                 1.1932,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.0222,                0.71304,                  1.163,                0.84909,                0.82432,                0.91337,                0.61936,                 1.1708,                0.75015,                 1.1955,                0.00101,                0.00101,                0.00101
                     52,                 1.0219,                0.71654,                 1.1571,                 0.8475,                 0.7973,                 0.8884,                0.59494,                 1.1916,                0.80164,                 1.2002,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.0039,                0.70008,                 1.1472,                 0.8501,                 0.7973,                0.90829,                0.61227,                 1.1926,                0.77359,                  1.206,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.0057,                 0.6892,                  1.146,                0.86739,                0.79392,                0.89861,                0.60993,                 1.1838,                0.82644,                 1.2006,              0.0009506,              0.0009506,              0.0009506
                     55,                0.99886,                0.69725,                 1.1518,                0.84436,                 0.8277,                 0.8867,                0.59785,                 1.2102,                0.81258,                 1.2047,              0.0009308,              0.0009308,              0.0009308
                     56,                0.99594,                0.70484,                 1.1428,                0.85609,                0.84405,                0.91608,                0.61856,                 1.1872,                0.70959,                 1.2022,               0.000911,               0.000911,               0.000911
                     57,                0.99219,                0.72034,                 1.1373,                0.83925,                0.81137,                0.88625,                0.58655,                 1.2171,                0.89195,                 1.2189,              0.0008912,              0.0008912,              0.0008912
                     58,                0.98836,                0.68932,                  1.133,                0.84153,                0.82527,                 0.8963,                0.60041,                 1.1972,                0.79337,                 1.2096,              0.0008714,              0.0008714,              0.0008714
                     59,                0.99349,                0.68306,                 1.1431,                0.83217,                0.81757,                0.88337,                0.59154,                 1.2107,                0.87468,                 1.2154,              0.0008516,              0.0008516,              0.0008516
