                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3236,                 1.2087,                 1.2288,                0.60065,                0.69986,                0.66134,                0.36105,                 1.5176,                 1.3959,                 1.3143,              0.0011224,              0.0011224,              0.0011224
                     35,                  1.318,                 1.1678,                 1.2237,                0.57493,                0.77398,                0.66972,                0.37583,                 1.4657,                  1.182,                 1.2793,              0.0011059,              0.0011059,              0.0011059
                     36,                 1.3258,                 1.1384,                 1.2382,                0.59609,                0.75053,                0.69564,                0.39065,                 1.5138,                 1.2297,                 1.3152,              0.0010894,              0.0010894,              0.0010894
                     37,                 1.3021,                 1.1128,                 1.2099,                0.64963,                0.72947,                0.71768,                0.40397,                 1.5027,                 1.1661,                 1.3035,              0.0010729,              0.0010729,              0.0010729
                     38,                 1.2962,                 1.1354,                 1.2184,                0.68508,                 0.7315,                0.73208,                0.41342,                 1.4955,                  1.117,                 1.2799,              0.0010564,              0.0010564,              0.0010564
                     39,                 1.2952,                 1.1086,                 1.1894,                0.64837,                0.60736,                0.69018,                0.37183,                 1.5539,                 1.2183,                 1.3171,              0.0010399,              0.0010399,              0.0010399
                     40,                 1.2993,                 1.1008,                 1.1895,                0.64653,                0.71809,                0.71748,                0.40044,                  1.547,                 1.1762,                 1.3105,              0.0010234,              0.0010234,              0.0010234
                     41,                 1.2714,                 1.0718,                    1.2,                0.61118,                0.71934,                0.69512,                0.38669,                 1.5371,                 1.1957,                 1.3181,              0.0010069,              0.0010069,              0.0010069
                     42,                 1.2594,                 1.0646,                 1.2077,                0.61907,                0.73476,                0.70811,                0.40254,                 1.4975,                 1.1436,                 1.2808,             0.00099036,             0.00099036,             0.00099036
                     43,                 1.2276,                 1.0717,                 1.1904,                0.59225,                0.71175,                0.67812,                0.38918,                 1.4893,                 1.1881,                 1.3026,             0.00097386,             0.00097386,             0.00097386
                     44,                 1.2466,                 1.0241,                  1.178,                0.57182,                0.74892,                0.65821,                 0.3572,                 1.5534,                 1.2159,                 1.3287,             0.00095736,             0.00095736,             0.00095736
                     45,                 1.2682,                 1.0405,                 1.1783,                0.63624,                0.75153,                0.68357,                0.37707,                 1.4835,                 1.1568,                 1.2852,             0.00094085,             0.00094085,             0.00094085
                     46,                 1.2517,                  1.156,                 1.1691,                0.59832,                0.70261,                0.67228,                0.37479,                 1.5659,                 1.1688,                 1.3238,             0.00092435,             0.00092435,             0.00092435
                     47,                 1.2439,                  1.035,                 1.1911,                0.64302,                0.71277,                0.71492,                0.40424,                 1.4988,                 1.1833,                 1.2889,             0.00090785,             0.00090785,             0.00090785
                     48,                 1.2409,                 1.0531,                 1.1855,                0.64783,                0.72322,                0.71382,                0.39549,                  1.553,                  1.172,                 1.3143,             0.00089134,             0.00089134,             0.00089134
                     49,                 1.2334,                 1.0238,                 1.1898,                0.63797,                0.79017,                0.73464,                0.40742,                 1.5126,                 1.1256,                 1.2982,             0.00087484,             0.00087484,             0.00087484
                     50,                 1.2181,                0.99621,                 1.1748,                0.62512,                0.75779,                0.70805,                0.39962,                 1.4818,                 1.1317,                 1.2866,             0.00085834,             0.00085834,             0.00085834
                     51,                 1.2062,                0.97092,                 1.1677,                0.66722,                0.66055,                0.71575,                0.40554,                 1.5039,                 1.2111,                 1.2958,             0.00084184,             0.00084184,             0.00084184
                     52,                 1.2164,                 1.0059,                 1.1717,                 0.6183,                0.69597,                0.67996,                0.38428,                 1.5061,                 1.1386,                 1.3033,             0.00082533,             0.00082533,             0.00082533
                     53,                  1.216,                 1.0099,                  1.166,                0.60615,                0.77282,                0.70827,                0.39335,                 1.5334,                  1.103,                 1.3117,             0.00080883,             0.00080883,             0.00080883
                     54,                 1.2429,                 1.0147,                 1.1803,                0.63123,                0.76955,                0.71829,                0.39787,                 1.4975,                 1.0954,                 1.2831,             0.00079233,             0.00079233,             0.00079233
                     55,                 1.2247,                 1.0233,                 1.1608,                0.58879,                0.75629,                 0.6726,                0.38239,                  1.497,                  1.148,                 1.2928,             0.00077582,             0.00077582,             0.00077582
                     56,                 1.1929,                 1.0456,                 1.1544,                0.62117,                0.74553,                0.67837,                0.38991,                 1.4682,                 1.1667,                 1.2765,             0.00075932,             0.00075932,             0.00075932
                     57,                 1.2052,                0.97041,                  1.169,                0.63747,                0.74255,                0.70117,                 0.3908,                 1.5013,                 1.1959,                 1.3104,             0.00074282,             0.00074282,             0.00074282
                     58,                 1.2081,                0.94133,                 1.1616,                0.69254,                0.70981,                0.74093,                0.41709,                 1.4697,                 1.0759,                 1.2836,             0.00072631,             0.00072631,             0.00072631
                     59,                 1.1724,                0.99979,                 1.1428,                0.67606,                 0.6893,                 0.7281,                0.40495,                 1.5088,                 1.1866,                 1.3154,             0.00070981,             0.00070981,             0.00070981
                     60,                  1.186,                0.93075,                 1.1462,                0.72724,                0.65362,                0.72332,                0.40195,                 1.4871,                 1.1169,                 1.2774,             0.00069331,             0.00069331,             0.00069331
                     61,                  1.179,                0.93669,                 1.1433,                 0.6136,                0.79979,                0.72183,                0.39303,                 1.4955,                 1.1027,                 1.2859,              0.0006768,              0.0006768,              0.0006768
                     62,                 1.1944,                0.93412,                 1.1437,                0.61749,                 0.7258,                0.70228,                0.39746,                 1.4859,                 1.1667,                 1.2777,              0.0006603,              0.0006603,              0.0006603
                     63,                 1.1625,                0.92147,                 1.1478,                0.56972,                0.75372,                0.67799,                0.38949,                 1.5048,                 1.1883,                 1.3058,              0.0006438,              0.0006438,              0.0006438
                     64,                 1.1805,                0.91929,                 1.1465,                0.59023,                0.74937,                0.70014,                0.39701,                 1.5072,                 1.1557,                 1.3237,             0.00062729,             0.00062729,             0.00062729
                     65,                 1.1588,                0.89019,                 1.1213,                0.58364,                0.76114,                0.68893,                0.38586,                 1.5304,                  1.155,                 1.3195,             0.00061079,             0.00061079,             0.00061079
                     66,                 1.1575,                0.90995,                 1.1467,                 0.6286,                0.68653,                0.67766,                0.38121,                 1.5043,                 1.2341,                 1.3011,             0.00059429,             0.00059429,             0.00059429
                     67,                  1.148,                0.89246,                 1.1376,                0.61254,                0.71559,                0.67058,                0.38016,                 1.5099,                 1.2005,                 1.3094,             0.00057778,             0.00057778,             0.00057778
                     68,                 1.1354,                0.91269,                 1.1377,                0.59493,                0.69302,                0.66507,                0.38816,                 1.5037,                 1.2773,                 1.2978,             0.00056128,             0.00056128,             0.00056128
                     69,                 1.1348,                0.88701,                 1.1278,                0.63385,                0.70604,                0.66802,                0.37374,                 1.5422,                 1.1539,                 1.3331,             0.00054478,             0.00054478,             0.00054478
                     70,                 1.1506,                0.87725,                 1.1188,                0.58928,                 0.8074,                0.69596,                0.39161,                 1.5018,                 1.1559,                 1.3119,             0.00052827,             0.00052827,             0.00052827
                     71,                 1.1219,                0.85717,                   1.12,                0.61775,                0.74741,                0.72132,                0.40636,                 1.4983,                 1.1863,                 1.3063,             0.00051177,             0.00051177,             0.00051177
                     72,                 1.1195,                0.86277,                 1.1211,                0.62726,                0.72345,                0.71069,                0.39604,                 1.5171,                 1.1952,                 1.3133,             0.00049527,             0.00049527,             0.00049527
                     73,                 1.1306,                0.85359,                 1.1062,                0.67931,                0.66273,                0.70498,                0.40261,                 1.4962,                 1.1458,                 1.3025,             0.00047876,             0.00047876,             0.00047876
                     74,                   1.12,                0.84535,                 1.1191,                0.59998,                0.74954,                 0.7002,                0.39769,                 1.4885,                 1.1973,                 1.2944,             0.00046226,             0.00046226,             0.00046226
                     75,                 1.0919,                0.83469,                 1.1002,                 0.5799,                0.79096,                0.70305,                0.39375,                 1.4855,                   1.13,                 1.2908,             0.00044576,             0.00044576,             0.00044576
                     76,                 1.0966,                0.84533,                 1.1184,                0.59635,                0.78888,                0.69919,                0.39885,                 1.4847,                 1.1455,                 1.2981,             0.00042925,             0.00042925,             0.00042925
                     77,                  1.102,                0.83143,                 1.1025,                0.59995,                0.80348,                0.69817,                0.39715,                 1.4688,                 1.1505,                 1.2886,             0.00041275,             0.00041275,             0.00041275
                     78,                 1.0863,                0.82919,                 1.1032,                0.59327,                0.75354,                0.67807,                0.37857,                 1.4986,                 1.2205,                 1.2993,             0.00039625,             0.00039625,             0.00039625
                     79,                 1.0832,                0.84458,                 1.0983,                0.60489,                0.77119,                0.68099,                0.38917,                 1.4935,                 1.1891,                 1.3017,             0.00037974,             0.00037974,             0.00037974
                     80,                 1.0917,                0.80591,                 1.1012,                0.59969,                 0.7744,                0.69692,                0.39682,                 1.4959,                 1.1754,                 1.2986,             0.00036324,             0.00036324,             0.00036324
                     81,                  1.098,                0.83437,                 1.0968,                0.62907,                0.74892,                0.69485,                0.38939,                  1.518,                 1.1397,                 1.3215,             0.00034674,             0.00034674,             0.00034674
                     82,                 1.0843,                0.84012,                 1.1066,                0.61213,                0.75208,                0.68552,                0.39519,                 1.5153,                 1.1506,                 1.3104,             0.00033023,             0.00033023,             0.00033023
                     83,                 1.0707,                0.87056,                 1.0948,                0.62082,                0.78477,                0.71008,                0.40525,                 1.5252,                 1.1286,                 1.3105,             0.00031373,             0.00031373,             0.00031373
                     84,                 1.0806,                0.79344,                   1.09,                0.64639,                0.71923,                0.69169,                0.39966,                 1.5194,                 1.1151,                  1.309,             0.00029723,             0.00029723,             0.00029723
                     85,                 1.0813,                0.80443,                 1.0833,                0.61566,                0.78059,                 0.7054,                0.39446,                 1.5037,                 1.0995,                 1.3111,             0.00028072,             0.00028072,             0.00028072
                     86,                 1.0587,                0.79384,                 1.0881,                0.59909,                0.76166,                0.70586,                0.40052,                 1.5197,                 1.1454,                 1.3074,             0.00026422,             0.00026422,             0.00026422
                     87,                  1.082,                0.81142,                 1.0947,                0.57767,                0.78801,                0.70325,                0.39337,                 1.4829,                 1.1485,                 1.2924,             0.00024772,             0.00024772,             0.00024772
                     88,                 1.0658,                0.85236,                 1.0671,                0.68282,                0.66755,                0.69936,                0.39176,                 1.4753,                 1.1501,                 1.2945,             0.00023121,             0.00023121,             0.00023121
