                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6403,                 1.7132,                 1.6885,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00066507,             0.00066507,             0.00066507
                      1,                 1.6233,                 1.3208,                 1.6618,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0013054,              0.0013054,              0.0013054
                      2,                 1.6559,                 1.3544,                 1.6528,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019193,              0.0019193,              0.0019193
                      3,                 1.5904,                 1.2645,                 1.6488,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0018812,              0.0018812,              0.0018812
                      4,                 1.5534,                  1.177,                 1.6154,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.5232,                 1.0916,                 1.5902,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0018416,              0.0018416,              0.0018416
                      6,                 1.4701,                 1.0188,                 1.5509,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001802,               0.001802,               0.001802
                      7,                 1.4664,                 1.0092,                  1.554,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.4176,                0.97525,                 1.5214,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.4304,                0.94455,                  1.521,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.3885,                 0.9413,                 1.4936,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.3662,                0.90562,                 1.4637,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001604,               0.001604,               0.001604
                     12,                  1.365,                0.85622,                 1.4588,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.4327,                0.91417,                 1.5158,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.3387,                0.81944,                 1.4447,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.3267,                0.87749,                 1.4627,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.2896,                0.77145,                 1.4094,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001406,               0.001406,               0.001406
                     17,                 1.3023,                0.76892,                 1.4294,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0013664,              0.0013664,              0.0013664
                     18,                 1.3083,                 0.7741,                 1.4533,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0013268,              0.0013268,              0.0013268
                     19,                 1.3258,                0.83413,                 1.4384,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0012872,              0.0012872,              0.0012872
                     20,                 1.2787,                0.74454,                 1.3906,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0012476,              0.0012476,              0.0012476
                     21,                 1.2665,                0.75986,                 1.4072,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001208,               0.001208,               0.001208
                     22,                 1.2537,                0.73017,                 1.3894,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0011684,              0.0011684,              0.0011684
                     23,                 1.2309,                0.70315,                 1.3808,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0011288,              0.0011288,              0.0011288
                     24,                 1.2264,                0.69281,                 1.3665,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0010892,              0.0010892,              0.0010892
                     25,                 1.1967,                0.67966,                 1.3583,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0010496,              0.0010496,              0.0010496
                     26,                 1.2011,                 0.6817,                  1.363,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00101,                0.00101,                0.00101
                     27,                  1.166,                0.64866,                 1.3347,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0009704,              0.0009704,              0.0009704
                     28,                 1.1635,                0.65284,                 1.3378,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0009308,              0.0009308,              0.0009308
                     29,                 1.1474,                0.63515,                 1.3358,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0008912,              0.0008912,              0.0008912
                     30,                 1.1233,                0.61021,                 1.3113,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0008516,              0.0008516,              0.0008516
                     31,                 1.1199,                0.61014,                 1.3006,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000812,               0.000812,               0.000812
                     32,                 1.1067,                0.59268,                 1.2898,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0007724,              0.0007724,              0.0007724
                     33,                 1.0993,                0.58364,                 1.2739,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0007328,              0.0007328,              0.0007328
