                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6246,                 1.6288,                 1.6008,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00066507,             0.00066507,             0.00066507
                      1,                 1.5864,                 1.2509,                 1.5707,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0013054,              0.0013054,              0.0013054
                      2,                 1.6053,                 1.3762,                 1.5716,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0019193,              0.0019193,              0.0019193
                      3,                 1.6014,                 1.2247,                 1.6037,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0018812,              0.0018812,              0.0018812
                      4,                 1.5561,                 1.1111,                 1.5574,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.4667,                 1.0339,                 1.5013,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0018416,              0.0018416,              0.0018416
                      6,                 1.4127,                0.97133,                 1.4476,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001802,               0.001802,               0.001802
                      7,                 1.4303,                0.95505,                 1.4725,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0017624,              0.0017624,              0.0017624
                      8,                  1.402,                0.93337,                 1.4509,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.4225,                0.98283,                 1.4544,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.3443,                0.85883,                 1.3948,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.3411,                0.83215,                 1.3894,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001604,               0.001604,               0.001604
                     12,                 1.3483,                 0.8338,                 1.3944,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.3778,                 0.8428,                 1.4274,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.2995,                0.77107,                 1.3505,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.3201,                0.82155,                 1.3973,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.2598,                0.74894,                  1.328,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001406,               0.001406,               0.001406
                     17,                 1.2752,                0.75179,                 1.3473,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0013664,              0.0013664,              0.0013664
                     18,                 1.2727,                0.73348,                 1.3552,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0013268,              0.0013268,              0.0013268
                     19,                 1.2778,                0.76314,                 1.3519,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0012872,              0.0012872,              0.0012872
                     20,                 1.2359,                0.70839,                  1.305,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0012476,              0.0012476,              0.0012476
                     21,                   1.26,                 0.7177,                 1.3366,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.001208,               0.001208,               0.001208
                     22,                 1.2231,                0.68559,                 1.3054,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0011684,              0.0011684,              0.0011684
                     23,                 1.1962,                0.66123,                 1.3065,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0011288,              0.0011288,              0.0011288
                     24,                 1.1911,                0.65779,                 1.2889,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0010892,              0.0010892,              0.0010892
                     25,                 1.1659,                0.65178,                 1.2797,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0010496,              0.0010496,              0.0010496
                     26,                 1.1864,                0.65592,                 1.2921,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00101,                0.00101,                0.00101
                     27,                 1.1545,                0.63492,                 1.2652,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0009704,              0.0009704,              0.0009704
                     28,                 1.1628,                0.64206,                 1.2787,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0009308,              0.0009308,              0.0009308
                     29,                 1.1417,                 0.6257,                 1.2718,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0008912,              0.0008912,              0.0008912
                     30,                 1.1118,                0.59824,                 1.2469,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0008516,              0.0008516,              0.0008516
                     31,                 1.0926,                0.58774,                 1.2273,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000812,               0.000812,               0.000812
                     32,                 1.0956,                0.58181,                 1.2229,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0007724,              0.0007724,              0.0007724
                     33,                 1.0806,                0.56868,                 1.2066,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0007328,              0.0007328,              0.0007328
                     34,                 1.0657,                0.57256,                 1.2101,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0006932,              0.0006932,              0.0006932
                     35,                 1.0644,                0.56453,                 1.2083,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.0452,                0.56012,                 1.2016,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000614,               0.000614,               0.000614
                     37,                  1.039,                0.53965,                 1.1845,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0005744,              0.0005744,              0.0005744
                     38,                  1.021,                0.53787,                 1.1892,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.0016,                0.52322,                 1.1617,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0004952,              0.0004952,              0.0004952
                     40,                0.97027,                0.52465,                 1.1597,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0004556,              0.0004556,              0.0004556
                     41,                 0.9151,                0.46623,                 1.1358,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.000416,               0.000416,               0.000416
                     42,                 0.9033,                0.45388,                 1.1165,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0003764,              0.0003764,              0.0003764
                     43,                0.87622,                0.44067,                 1.1038,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0003368,              0.0003368,              0.0003368
